,Census year,Block ID,Property ID,Base property ID,Suburb,Trading name,Business address,Industry (ANZSIC4) description,Longitude,Latitude,location,Postcode,Google Search Link,Cuisine
0,2019,790,589462,589462,Port Melbourne,Sabre Cafe,"Part Unit 2, 42 Sabre Drive PORT MELBOURNE VIC 3207",Cafes and Restaurants,144.9063357,-37.827977,"-37.8279766213, 144.90633574660376",3207,https://www.google.com/search?q=Sabre+Cafe+Melbourne,Australian
55,2019,861,102502,102502,South Yarra,Matilda,Restaurant Ground 159 Domain Road SOUTH YARRA VIC 3141,Cafes and Restaurants,144.981452,-37.834285,"-37.83428463228749, 144.9814520532",3141,https://www.google.com/search?q=Matilda+Melbourne,Australian
56,2019,861,102503,102503,South Yarra,Botanical Hotel,169 Domain Road SOUTH YARRA VIC 3141,Cafes and Restaurants,144.9817,-37.834317,"-37.83431689595, 144.98170002123896",3141,https://www.google.com/search?q=Botanical+Hotel+Melbourne,Australian
58,2019,861,102505,102505,South Yarra,Domain Brasserie,181 Domain Road SOUTH YARRA VIC 3141,Cafes and Restaurants,144.982035,-37.834313,"-37.83431310932447, 144.9820354792",3141,https://www.google.com/search?q=Domain+Brasserie+Melbourne,Australian
60,2019,861,102506,102506,South Yarra,Baker D Chirico,Ground 183 Domain Road SOUTH YARRA VIC 3141,Bakery Product Manufacturing (Non-factory based),144.982128,-37.834326,"-37.83432571957914, 144.98212840035",3141,https://www.google.com/search?q=Baker+D+Chirico+Melbourne,Cafe
64,2019,870,102178,102178,Melbourne (Remainder),Alf's Cafe,"Shop 2-3, 55 Commercial Road MELBOURNE VIC 3004",Cafes and Restaurants,144.9828162,-37.84657,"-37.84657030085, 144.9828162329293",3004,https://www.google.com/search?q=Alf's+Cafe+Melbourne,Cafe
81,2019,1101,108847,108847,Docklands,Code 3,"Shop 1, 313 Spencer Street DOCKLANDS 3008",Cafes and Restaurants,144.9510169,-37.813807,"-37.81380704215, 144.95101685310576",3008,https://www.google.com/search?q=Code+3+Melbourne,Australian
83,2019,1101,108973,108973,Docklands,Velluto,"Shop 9, Level 1, 650 Spencer Street DOCKLANDS 3008",Cafes and Restaurants,144.952227,-37.818412,"-37.818411730415505, 144.9522268972",3008,https://www.google.com/search?q=Velluto+Melbourne,Australian
84,2019,1101,108973,108973,Docklands,In A Rush Espresso,"Shop 8, Ground , 99 Spencer Street DOCKLANDS 3008",Cafes and Restaurants,144.952227,-37.818412,"-37.818411730415505, 144.9522268972",3008,https://www.google.com/search?q=In+A+Rush+Espresso+Melbourne,Cafe
85,2019,1101,108973,108973,Docklands,Network Public Bar & Pizzeria,"Shop 4, Ground , 99 Spencer Street DOCKLANDS 3008","Pubs, Taverns and Bars",144.952227,-37.818412,"-37.818411730415505, 144.9522268972",3008,https://www.google.com/search?q=Network+Public+Bar+&+Pizzeria+Melbourne,Australian
86,2019,1101,108973,108973,Docklands,Hungry Jack's,"Shop 14, Level 1, 650 Spencer Street DOCKLANDS 3008",Cafes and Restaurants,144.952227,-37.818412,"-37.818411730415505, 144.9522268972",3008,https://www.google.com/search?q=Hungry+Jack's+Melbourne,Fast Food
87,2019,1101,108973,108973,Docklands,Red Rooster 2,"Shop 2, Level 1, 650 Spencer Street DOCKLANDS 3008",Takeaway Food Services,144.952227,-37.818412,"-37.818411730415505, 144.9522268972",3008,https://www.google.com/search?q=Red+Rooster+2+Melbourne,Fast Food
89,2019,1101,110843,110843,Docklands,Genki Express,237-261 Spencer Street DOCKLANDS 3008,Takeaway Food Services,144.950564,-37.814509,"-37.814508973578526, 144.9505641426",3008,https://www.google.com/search?q=Genki+Express+Melbourne,Japanese
90,2019,1101,110843,110843,Docklands,Coffee Rush,"Shop 310, Ground , 229 Spencer Street DOCKLANDS 3008",Cafes and Restaurants,144.950564,-37.814509,"-37.814508973578526, 144.9505641426",3008,https://www.google.com/search?q=Coffee+Rush+Melbourne,Cafe
92,2019,1101,110845,110845,Docklands,Espresso Hub,"Part Ground , 655 Collins Street DOCKLANDS 3008",Cafes and Restaurants,144.953046,-37.819686,"-37.8196859516, 144.953045720839",3008,https://www.google.com/search?q=Espresso+Hub+Melbourne,Cafe
93,2019,1102,609314,609314,Docklands,Cafe 198,"Unit 2, 198 Harbour Esplanade DOCKLANDS 3008",Cafes and Restaurants,144.944939,-37.813995,"-37.813994520151894, 144.94493865055",3008,https://www.google.com/search?q=Cafe+198+Melbourne,Cafe
95,2019,1103,558180,558180,Docklands,The Medallion Club,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",Cafes and Restaurants,144.9475602,-37.816742,"-37.81674197865, 144.94756024120727",3008,https://www.google.com/search?q=The+Medallion+Club+Melbourne,Australian
