Census year,Block ID,Property ID,Base property ID,Suburb,Trading name,Business address,Industry (ANZSIC4) description,Longitude,Latitude,location,Postcode,Google Search Link,Cuisine
2019,790,589462,589462,Port Melbourne,Sabre Cafe,"Part Unit 2, 42 Sabre Drive PORT MELBOURNE VIC 3207",Cafes and Restaurants,144.9063357,-37.82797662,"-37.8279766213, 144.90633574660376",3207,https://www.google.com/search?q=Sabre+Cafe+Melbourne, Modern Australian
2019,801,110326,110326,Southbank,Soho Restaurant & Bar,Part Ground 4 Riverside Quay SOUTHBANK VIC 3006,Cafes and Restaurants,144.9633741,-37.82092447,"-37.82092447295, 144.9633741325051",3006,https://www.google.com/search?q=Soho+Restaurant+&+Bar+Melbourne, Modern Australian
2019,801,110326,110326,Southbank,Hopscotch,"Shop 4, 4 Riverside Quay SOUTHBANK VIC 3006",Cafes and Restaurants,144.9633741,-37.82092447,"-37.82092447295, 144.9633741325051",3006,https://www.google.com/search?q=Hopscotch+Melbourne, Modern Australian
2019,801,110327,110327,Southbank,DOC Southbank,Part Ground 6 Riverside Quay SOUTHBANK VIC 3006,Cafes and Restaurants,144.9638277,-37.82082683,"-37.82082683153955, 144.96382772145",3006,https://www.google.com/search?q=DOC+Southbank+Melbourne, Italian
2019,801,110327,110327,Southbank,Dagwood Deli,Part Ground 6 Riverside Quay SOUTHBANK VIC 3006,Cafes and Restaurants,144.9638277,-37.82082683,"-37.82082683153955, 144.96382772145",3006,https://www.google.com/search?q=Dagwood+Deli+Melbourne, Sandwiches/Deli
2019,801,110335,110335,Southbank,Left Bank Melbourne,Part Ground 1 Southbank Boulevard SOUTHBANK VIC 3006,Cafes and Restaurants,144.9628667,-37.82103935,"-37.82103934955, 144.9628667411883",3006,https://www.google.com/search?q=Left+Bank+Melbourne+Melbourne, Modern Australian
2019,801,110335,110335,Southbank,Old Man Pho,Rear Ground 1 Southbank Boulevard SOUTHBANK VIC 3006,Cafes and Restaurants,144.9628667,-37.82103935,"-37.82103934955, 144.9628667411883",3006,https://www.google.com/search?q=Old+Man+Pho+Melbourne, Vietnamese
2019,801,110336,110336,Southbank,The Bond Store Cafe,Shop Ground 1 Riverside Quay SOUTHBANK VIC 3006,Cafes and Restaurants,144.9638678,-37.82194158,"-37.8219415808, 144.96386780324633",3006,https://www.google.com/search?q=The+Bond+Store+Cafe+Melbourne, Modern Australian
2019,801,559161,559161,Southbank,Eureka Skydeck 88,"Unit 8801, Level 88 7 Riverside Quay SOUTHBANK VIC 3006",Amusement and Other Recreational Activities n.e.c.,144.9645387,-37.82168057,"-37.82168057458093, 144.96453865569998",3006,https://www.google.com/search?q=Eureka+Skydeck+88+Melbourne, N/A (Observation deck with café)
2019,801,559161,559161,Southbank,Belgian Beer Cafe Melbourne,5 Riverside Quay SOUTHBANK VIC 3006,"Pubs, Taverns and Bars",144.9645387,-37.82168057,"-37.82168057458093, 144.96453865569998",3006,https://www.google.com/search?q=Belgian+Beer+Cafe+Melbourne+Melbourne, Belgian
2019,802,575820,575820,Southbank,Nashi,"Part Shop 17R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,144.9621826,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=Nashi+Melbourne, Japanese
2019,802,575820,575820,Southbank,Heavenly Beans,"Shop 18R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,144.9621826,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=Heavenly+Beans+Melbourne, Café
2019,802,575820,575820,Southbank,Crintis Southbank,Shop 5R & 7R 3 Freshwater Place SOUTHBANK VIC 3006,Cafes and Restaurants,144.9621826,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=Crintis+Southbank+Melbourne, Modern Australian
2019,802,575820,575820,Southbank,Frankie Walter Peta,"Part Shop 16R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,144.9621826,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=Frankie+Walter+Peta+Melbourne, N/A (Possibly a café or bistro)
2019,802,575820,575820,Southbank,Crintis Southbank,Shop 5R & 7R 3 Freshwater Place SOUTHBANK VIC 3006,Cafes and Restaurants,144.9621826,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=Crintis+Southbank+Melbourne, Modern Australian
2019,802,575820,575820,Southbank,Kenny's Bakery Cafe,"Shop 12R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,144.9621826,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=Kenny's+Bakery+Cafe+Melbourne, Bakery/Café
2019,802,575820,575820,Southbank,Shuji Sushi,"Part Shop 16R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,144.9621826,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=Shuji+Sushi+Melbourne, Japanese
2019,802,575820,575820,Southbank,Blossom Espresso,"Shop 11R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,144.9621826,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=Blossom+Espresso+Melbourne, Café
